============================================================
  Model #17  PPO  stock=13  day  steps=100,000
  Started: 2026-04-02 21:54:30
============================================================
[21:54:31] INFO   GPU verified: NVIDIA GeForce RTX 4050 Laptop GPU (6.2 GB · CUDA 12.4) — memory cleared
[21:55:47] TRAIN  Step 81,000/100,000 (81.0%) | FPS 1671
[21:55:47] TRAIN  Step 81,920/100,000 (81.9%) | Loss 711.306396 | FPS 1678
[21:55:48] TRAIN  Step 82,000/100,000 (82.0%) | FPS 1661
[21:55:48] TRAIN  Step 83,000/100,000 (83.0%) | FPS 1662
[21:55:49] TRAIN  Step 84,000/100,000 (84.0%) | FPS 1670
[21:55:49] TRAIN  Step 85,000/100,000 (85.0%) | FPS 1672
[21:55:50] TRAIN  Step 86,000/100,000 (86.0%) | FPS 1677
[21:55:50] TRAIN  Step 86,016/100,000 (86.0%) | Loss 390.185944 | FPS 1677
[21:55:51] TRAIN  Step 87,000/100,000 (87.0%) | FPS 1664
[21:55:51] TRAIN  Step 88,000/100,000 (88.0%) | FPS 1671
[21:55:51] TRAIN  Step 89,000/100,000 (89.0%) | FPS 1676
[21:55:52] TRAIN  Step 90,000/100,000 (90.0%) | FPS 1681
[21:55:52] TRAIN  Step 90,112/100,000 (90.1%) | Loss 190.935272 | FPS 1682
[21:55:53] TRAIN  Step 91,000/100,000 (91.0%) | FPS 1666
[21:55:53] TRAIN  Step 92,000/100,000 (92.0%) | FPS 1671
[21:55:54] TRAIN  Step 93,000/100,000 (93.0%) | FPS 1677
[21:55:54] TRAIN  Step 94,000/100,000 (94.0%) | FPS 1684
[21:55:54] TRAIN  Step 94,208/100,000 (94.2%) | Loss 412.192871 | FPS 1683
[21:55:55] TRAIN  Step 95,000/100,000 (95.0%) | FPS 1669
[21:55:56] TRAIN  Step 96,000/100,000 (96.0%) | FPS 1673
[21:55:56] TRAIN  Step 97,000/100,000 (97.0%) | FPS 1678
[21:55:57] TRAIN  Step 98,000/100,000 (98.0%) | FPS 1683
[21:55:57] TRAIN  Step 98,304/100,000 (98.3%) | Loss 908.389709 | FPS 1685
[21:55:58] TRAIN  Step 99,000/100,000 (99.0%) | FPS 1670
[21:55:58] TRAIN  Step 100,000/100,000 (100.0%) | FPS 1676
[21:55:58] TRAIN  Step 101,000/100,000 (101.0%) | FPS 1679
[21:55:59] TRAIN  Step 102,000/100,000 (102.0%) | FPS 1683
[21:55:59] TRAIN  Step 102,400/100,000 (102.4%) | Loss 757.272034 | FPS 1683
[21:56:00] DONE   Training completed successfully.
[21:56:00] DONE     Training completed. Reward=None
